ID,TextID,Description,Count,Trigger,Condition,ConditionValue,ConditionName,BonusCondition,BonusConditionValue,BonusMultiplier,Reward,RequiresWin,RequiresGuildFleet,GuildFleetBonus
131,OBJECTIVE_PROGRESS_DEAL_DAMAGE_200_CANNON,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,200,DAMAGE,GROUP,STANDARD_CANNON,ITEM_CANNON,,,,,,,
132,OBJECTIVE_PROGRESS_BUY_ITEM_10,QUEST_OBJECTIVE_PROGRESS_BUY_ITEMS,10,BUY_ITEM,,,,,,,,,,
133,OBJECTIVE_PROGRESS_LEVEL_ITEM_5_CANNON,QUEST_OBJECTIVE_PROGRESS_LEVEL_ITEM,5,REACH_ITEM_LEVEL,GROUP,STANDARD_CANNON,ITEM_CANNON,,,,,,,
134,OBJECTIVE_PROGRESS_BUY_ITEM_1_SPEED_PASSIVE_UNCOMMON,QUEST_OBJECTIVE_PROGRESS_BUY_ITEM,1,BUY_ITEM,GROUP,TURBO,ITEM_SPEED_PASSIVE,,,,,,,
135,OBJECTIVE_PROGRESS_ASSIGN_ITEM_TO_SHIP_1_SPEED_PASSIVE,QUEST_OBJECTIVE_PROGRESS_EQUIP_ITEM,1,EQUIP_ITEM,GROUP,TURBO,ITEM_SPEED_PASSIVE,,,,,,,
136,OBJECTIVE_PROGRESS_TRAIN_3_BHURT,QUEST_OBJECTIVE_PROGRESS_TRAIN,3,START_TRAINING_CREW_LEVEL,CREW,CANNONEER,CREW_CANNONEER,,,,,,,
137,OBJECTIVE_PROGRESS_EARN_INFAMY_300,QUEST_OBJECTIVE_PROGRESS_INFAMY,300,INFAMY,,,,,,,,,,
138,OBJECTIVE_PROGRESS_BUY_ITEM_1_GRENADE_UNCOMMON,QUEST_OBJECTIVE_PROGRESS_BUY_ITEM,1,BUY_ITEM,GROUP,GRENADE,ITEM_GRENADE,,,,,,,
139,OBJECTIVE_PROGRESS_DEAL_DAMAGE_300_GRENADE,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,300,DAMAGE,GROUP,GRENADE,ITEM_GRENADE,,,,,,,
140,OBJECTIVE_PROGRESS_TRAIN_2_SWIFT,QUEST_OBJECTIVE_PROGRESS_TRAIN,2,START_TRAINING_CREW_LEVEL,CREW,SAILOR,CREW_SAILOR,,,,,,,
141,OBJECTIVE_PROGRESS_LEVEL_ITEM_5_SPEED_PASSIVE,QUEST_OBJECTIVE_PROGRESS_LEVEL_ITEM,5,REACH_ITEM_LEVEL,GROUP,TURBO,ITEM_SPEED_PASSIVE,,,,,,,
142,OBJECTIVE_PROGRESS_TRAIN_4_BHURT,QUEST_OBJECTIVE_PROGRESS_TRAIN,4,START_TRAINING_CREW_LEVEL,CREW,CANNONEER,CREW_CANNONEER,,,,,,,
143,OBJECTIVE_PROGRESS_FUSE_ITEMS_10,QUEST_OBJECTIVE_PROGRESS_FUSE_ITEMS,10,FUSE_ITEM,,,,,,,,,,
144,OBJECTIVE_PROGRESS_BUY_SHIP_1_SPEED_SHIP,QUEST_OBJECTIVE_PROGRESS_BUY_SHIP,1,SHIP_TIER,SHIP_GROUP,SPEED_SHIP,SHIP_NAME_SPEED_1,,,,,,,
145,OBJECTIVE_PROGRESS_CAPTAIN_LEVEL_5,QUEST_OBJECTIVE_PROGRESS_CAPTAIN_LEVEL,5,CAPTAIN_LEVEL,,,,,,,,,,
146,OBJECTIVE_PROGRESS_TRAIN_2_ISAK,QUEST_OBJECTIVE_PROGRESS_TRAIN,2,START_TRAINING_CREW_LEVEL,CREW,FISHERMAN,CREW_FISHERMAN,,,,,,,
147,OBJECTIVE_PROGRESS_HIRE_1_MORTIMER,QUEST_OBJECTIVE_PROGRESS_HIRE,1,START_TRAINING_CREW_LEVEL,CREW,MORTARMAN,CREW_MORTARMAN,,,,,,,
148,OBJECTIVE_PROGRESS_BUY_ITEM_1_MORTAR_UNCOMMON,QUEST_OBJECTIVE_PROGRESS_BUY_ITEM,1,BUY_ITEM,GROUP,STANDARD_MORTAR,ITEM_MORTAR,,,,,,,
149,OBJECTIVE_PROGRESS_TRAIN_3_ISAK,QUEST_OBJECTIVE_PROGRESS_TRAIN,3,START_TRAINING_CREW_LEVEL,CREW,FISHERMAN,CREW_FISHERMAN,,,,,,,
150,OBJECTIVE_PROGRESS_TRAIN_2_MORTIMER,QUEST_OBJECTIVE_PROGRESS_TRAIN,2,START_TRAINING_CREW_LEVEL,CREW,MORTARMAN,CREW_MORTARMAN,,,,,,,
151,OBJECTIVE_PROGRESS_DEAL_DAMAGE_500_MORTAR,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,500,DAMAGE,GROUP,STANDARD_MORTAR,ITEM_MORTAR,,,,,,,
152,OBJECTIVE_PROGRESS_LEVEL_ITEM_5_MORTAR,QUEST_OBJECTIVE_PROGRESS_LEVEL_ITEM,5,REACH_ITEM_LEVEL,GROUP,STANDARD_MORTAR,ITEM_MORTAR,,,,,,,
153,OBJECTIVE_PROGRESS_DEAL_DAMAGE_500_SNIPER_OR_BLAST,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM_SNIPER_OR_BLAST,500,DAMAGE,GROUP,SNIPER_N_BLAST,,,,,,,,
154,OBJECTIVE_PROGRESS_LEVEL_ITEM_10_SNIPER_OR_BLAST,QUEST_OBJECTIVE_PROGRESS_LEVEL_ITEM_SNIPER_OR_BLAST,10,REACH_ITEM_LEVEL,GROUP,SNIPER_N_BLAST,,,,,,,,
155,OBJECTIVE_PROGRESS_LEVEL_ITEM_10_SNIPER_CANNON,QUEST_OBJECTIVE_PROGRESS_LEVEL_ITEM,10,REACH_ITEM_LEVEL,GROUP,SNIPER_CANNON,ITEM_CANNON_SNIPER,,,,,,,
156,OBJECTIVE_PROGRESS_TRAIN_4_ISAK,QUEST_OBJECTIVE_PROGRESS_TRAIN,4,START_TRAINING_CREW_LEVEL,CREW,FISHERMAN,CREW_FISHERMAN,,,,,,,
157,OBJECTIVE_PROGRESS_FREEZE_20_AREA_SLOW,QUEST_OBJECTIVE_PROGRESS_FREEZE,20,SKILL_ACTIVATE,GROUP,FREEZE,,,,,,,,
158,OBJECTIVE_PROGRESS_EARN_STARS_5,QUEST_OBJECTIVE_EARN_BATTLESTARS,5,EARN_BATTLE_REWARD,RESOURCE,VICTORY_TOKEN,RESOURCE_VICTORY_TOKEN,,,,,,,
159,OBJECTIVE_PROGRESS_SPEND_GOLD_30000,QUEST_OBJECTIVE_PROGRESS_SPEND_GOLD,30000,SPEND_CURRENCY,RESOURCE,SC_ITEM,RESOURCE_SC_ITEM,,,,,,,
160,OBJECTIVE_PROGRESS_UPGRADE_SHIP_2_CANNON_SHIP,QUEST_OBJECTIVE_PROGRESS_UPGRADE_SHIP,2,SHIP_TIER,SHIP_GROUP,CANNON_SHIP,SHIP_NAME_CANNON_1,,,,,,,
161,OBJECTIVE_PROGRESS_BUY_ITEM_1_CONTROL,QUEST_OBJECTIVE_PROGRESS_BUY_ITEM_CONTROL,1,BUY_ITEM,GROUP,CONTROL,GROUP_CONTROL_ITEMS,,,,,,,
162,OBJECTIVE_PROGRESS_EARN_INFAMY_600,QUEST_OBJECTIVE_PROGRESS_INFAMY,600,INFAMY,,,,,,,,,,
163,OBJECTIVE_PROGRESS_HIRE_1_FELIX,QUEST_OBJECTIVE_PROGRESS_HIRE,1,START_TRAINING_CREW_LEVEL,CREW,CARPENTER,CREW_CARPENTER,,,,,,,
164,OBJECTIVE_PROGRESS_BUY_ITEM_1_AREA_HEAL_UNCOMMON,QUEST_OBJECTIVE_PROGRESS_BUY_ITEM,1,BUY_ITEM,GROUP,AREA_HEAL,ITEM_AREA_HEAL,,,,,,,
165,OBJECTIVE_PROGRESS_BUY_SHIP_1_HEALING_SHIP,QUEST_OBJECTIVE_PROGRESS_BUY_SHIP,1,SHIP_TIER,SHIP_GROUP,HEALING_SHIP,SHIP_NAME_HEALING_1,,,,,,,
166,OBJECTIVE_PROGRESS_HEAL_500_AREA_HEAL,QUEST_OBJECTIVE_HEAL,500,HEAL,,AREA_HEAL,ITEM_AREA_HEAL,,,,,,,
167,OBJECTIVE_PROGRESS_DEAL_DAMAGE_1000,QUEST_OBJECTIVE_DEAL_DAMAGE,1000,DAMAGE,,,,,,,,,,
168,OBJECTIVE_PROGRESS_WIN_BATTLES_3,QUEST_OBJECTIVE_WIN_BATTLES,3,WIN,,,,,,,,,,
169,OBJECTIVE_PROGRESS_SINK_SHIPS_10,QUEST_OBJECTIVE_DESTROY_SHIPS,10,DESTROY_SHIP,,,,,,,,,,
170,OBJECTIVE_PROGRESS_SPEND_SUGAR_15000,QUEST_OBJECTIVE_PROGRESS_SPEND_SUGAR,15000,SPEND_CURRENCY,RESOURCE,SC_CREW,RESOURCE_SC_CREW,,,,,,,
171,OBJECTIVE_PROGRESS_FUSE_ITEMS_30,QUEST_OBJECTIVE_PROGRESS_FUSE_ITEMS,30,FUSE_ITEM,,,,,,,,,,
172,OBJECTIVE_PROGRESS_TRAIN_4_SWIFT,QUEST_OBJECTIVE_PROGRESS_TRAIN,4,START_TRAINING_CREW_LEVEL,CREW,SAILOR,CREW_SAILOR,,,,,,,
173,OBJECTIVE_PROGRESS_BUY_ITEM_1_CARRONADE_UNCOMMON,QUEST_OBJECTIVE_PROGRESS_BUY_ITEM,1,BUY_ITEM,GROUP,STANDARD_CARRONADE,ITEM_CARRONADE,,,,,,,
174,OBJECTIVE_PROGRESS_DEAL_DAMAGE_600_CARRONADE,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,600,DAMAGE,GROUP,STANDARD_CARRONADE,ITEM_CARRONADE,,,,,,,
175,OBJECTIVE_PROGRESS_LEVEL_ITEM_20_CARRONADE,QUEST_OBJECTIVE_PROGRESS_LEVEL_ITEM,10,REACH_ITEM_LEVEL,GROUP,STANDARD_CARRONADE,ITEM_CARRONADE,,,,,,,
176,OBJECTIVE_PROGRESS_APPLY_PERKS_1,QUEST_OBJECTIVE_PROGRESS_APPLY_PERKS,1,FIT_PERK,,,,,,,,,,
177,OBJECTIVE_PROGRESS_CAPTAIN_LEVEL_10,QUEST_OBJECTIVE_PROGRESS_CAPTAIN_LEVEL,10,CAPTAIN_LEVEL,,,,,,,,,,
178,OBJECTIVE_PROGRESS_FIRE_WEAPON_100_ATTACK,QUEST_OBJECTIVE_FIRE_SHOTS,100,SKILL_ACTIVATE,,WEAPON,,,,,,,,
179,OBJECTIVE_PROGRESS_UPGRADE_MK_2_SHIPS,QUEST_OBJECTIVE_PROGRESS_UPGRADE_SHIP_MK_2,2,SHIP_TIER,SHIP_GROUP,NOT_CANNON_SHIP,,,,,,,,
180,OBJECTIVE_PROGRESS_EARN_STARS_15,QUEST_OBJECTIVE_EARN_BATTLESTARS,15,EARN_BATTLE_REWARD,RESOURCE,VICTORY_TOKEN,RESOURCE_VICTORY_TOKEN,,,,,,,
181,OBJECTIVE_PROGRESS_OPEN_BOX_2_UNCOMMON,QUEST_OBJECTIVE_PROGRESS_OPEN_ITEM,3,OPEN_ITEM,ITEM,MYSTERY_BOX_R1,ITEM_MYSTERY_BOX_R1,,,,,,,
182,OBJECTIVE_PROGRESS_BUY_ITEM_3,QUEST_OBJECTIVE_PROGRESS_BUY_ITEMS,3,BUY_ITEM,,,,,,,,,,
183,OBJECTIVE_PROGRESS_BUY_ITEM_5,QUEST_OBJECTIVE_PROGRESS_BUY_ITEMS,5,BUY_ITEM,,,,,,,,,,
184,OBJECTIVE_CLAIM_DAILIES_15,QUEST_OBJECTIVE_CLAIM_DAILIES,12,CLAIM_QUEST_REWARD,QUEST_CATEGORY,DAILY_QUEST,,,,,,,,
185,OBJECTIVE_CLAIM_DAILIES_20,QUEST_OBJECTIVE_CLAIM_DAILIES,18,CLAIM_QUEST_REWARD,QUEST_CATEGORY,DAILY_QUEST,,,,,,,,
186,OBJECTIVE_CLAIM_DAILIES_5,QUEST_OBJECTIVE_CLAIM_DAILIES,5,CLAIM_QUEST_REWARD,QUEST_CATEGORY,DAILY_QUEST,,,,,,,,
1001,OBJECTIVE_PROGRESS_BUY_ITEM_2,QUEST_OBJECTIVE_PROGRESS_BUY_ITEMS,2,BUY_ITEM,,,,,,,,,,
1002,OBJECTIVE_PROGRESS_BUY_ITEM_4,QUEST_OBJECTIVE_PROGRESS_BUY_ITEMS,4,BUY_ITEM,,,,,,,,,,
1003,OBJECTIVE_PROGRESS_BUY_SHIP_ANY,QUEST_OBJECTIVE_PROGRESS_BUY_SHIP,1,SHIP_TIER,SHIP_GROUP,NOT_CANNON_SHIP,,,,,,,,
1004,OBJECTIVE_PROGRESS_CAPTAIN_LEVEL_8,QUEST_OBJECTIVE_PROGRESS_CAPTAIN_LEVEL,8,CAPTAIN_LEVEL,,,,,,,,,,
1005,OBJECTIVE_DEAL_2000_DAMAGE,QUEST_OBJECTIVE_DEAL_DAMAGE,2000,DAMAGE,,,,,,,,,,
1006,OBJECTIVE_DEAL_300_DAMAGE,QUEST_OBJECTIVE_DEAL_DAMAGE,300,DAMAGE,,,,,,,,,,
1007,OBJECTIVE_DEAL_3000_DAMAGE,QUEST_OBJECTIVE_DEAL_DAMAGE,3000,DAMAGE,,,,,,,,,,
1008,OBJECTIVE_DEAL_4000_DAMAGE,QUEST_OBJECTIVE_DEAL_DAMAGE,4000,DAMAGE,,,,,,,,,,
1009,OBJECTIVE_DEAL_500_DAMAGE,QUEST_OBJECTIVE_DEAL_DAMAGE,500,DAMAGE,,,,,,,,,,
1010,OBJECTIVE_EARN_GOLD_10000,QUEST_OBJECTIVE_EARN_GOLD,10000,EARN_CURRENCY,RESOURCE,SC_ITEM,RESOURCE_SC_ITEM,,,,,,,
1011,OBJECTIVE_PROGRESS_EARN_INFAMY_150,QUEST_OBJECTIVE_PROGRESS_INFAMY,150,INFAMY,,,,,,,,,,
1012,OBJECTIVE_EARN_2_BATTLESTARS,QUEST_OBJECTIVE_EARN_BATTLESTARS,2,EARN_BATTLE_REWARD,RESOURCE,VICTORY_TOKEN,RESOURCE_VICTORY_TOKEN,,,,,,,
1013,OBJECTIVE_EARN_3_BATTLESTARS,QUEST_OBJECTIVE_EARN_BATTLESTARS,3,EARN_BATTLE_REWARD,RESOURCE,VICTORY_TOKEN,RESOURCE_VICTORY_TOKEN,,,,,,,
1014,OBJECTIVE_EARN_SUGAR_10000,QUEST_OBJECTIVE_EARN_SUGAR,10000,EARN_CURRENCY,RESOURCE,SC_CREW,RESOURCE_SC_CREW,,,,,,,
1015,OBJECTIVE_FIGHT_10_BATTLES,QUEST_OBJECTIVE_FIGHT_BATTLES,10,BATTLE,,,,,,,,,,
1016,OBJECTIVE_FIGHT_15_BATTLES,QUEST_OBJECTIVE_FIGHT_BATTLES,15,BATTLE,,,,,,,,,,
1017,OBJECTIVE_FIGHT_2_BATTLES,QUEST_OBJECTIVE_FIGHT_BATTLES,2,BATTLE,,,,,,,,,,
1018,OBJECTIVE_FIGHT_3_BATTLES,QUEST_OBJECTIVE_FIGHT_BATTLES,3,BATTLE,,,,,,,,,,
1019,OBJECTIVE_FIGHT_7_BATTLES,QUEST_OBJECTIVE_FIGHT_BATTLES,7,BATTLE,,,,,,,,,,
1020,OBJECTIVE_PROGRESS_FUSE_ITEMS_2,QUEST_OBJECTIVE_PROGRESS_FUSE_ITEMS,2,FUSE_ITEM,,,,,,,,,,
1021,OBJECTIVE_PROGRESS_FUSE_ITEMS_4,QUEST_OBJECTIVE_PROGRESS_FUSE_ITEMS,4,FUSE_ITEM,,,,,,,,,,
1022,OBJECTIVE_PROGRESS_FUSE_ITEMS_5,QUEST_OBJECTIVE_PROGRESS_FUSE_ITEMS,5,FUSE_ITEM,,,,,,,,,,
1023,OBJECTIVE_PROGRESS_SPEND_GOLD_10000,QUEST_OBJECTIVE_PROGRESS_SPEND_GOLD,10000,SPEND_CURRENCY,RESOURCE,SC_ITEM,RESOURCE_SC_ITEM,,,,,,,
1024,OBJECTIVE_PROGRESS_SPEND_SUGAR_5000,QUEST_OBJECTIVE_PROGRESS_SPEND_SUGAR,5000,SPEND_CURRENCY,RESOURCE,SC_CREW,RESOURCE_SC_CREW,,,,,,,
1025,OBJECTIVE_PROGRESS_UPGRADE_SHIP_ANY_MK2,QUEST_OBJECTIVE_PROGRESS_UPGRADE_SHIP_ANY,2,SHIP_TIER,SHIP_GROUP,SHIP,,,,,,,,
1026,OBJECTIVE_PROGRESS_BUY_ITEM_5_UNCOMMON,QUEST_OBJECTIVE_PROGRESS_BUY_ITEMS,5,BUY_ITEM,,,,,,,,,,
1027,OBJECTIVE_PROGRESS_FUSE_ITEMS_5_UNCOMMON,QUEST_OBJECTIVE_PROGRESS_FUSE_ITEMS,5,FUSE_ITEM,,,,,,,,,,
1028,OBJECTIVE_PROGRESS_EARN_STARS_10,QUEST_OBJECTIVE_EARN_BATTLESTARS,10,EARN_BATTLE_REWARD,RESOURCE,VICTORY_TOKEN,RESOURCE_VICTORY_TOKEN,,,,,,,
2002,EASY_OBJECTIVE_WIN_2_BATTLES,QUEST_OBJECTIVE_WIN_BATTLES,2,WIN,,,,,,,,,,
2004,EASY_OBJECTIVE_DESTROY_2_SHIPS,QUEST_OBJECTIVE_DESTROY_SHIPS,2,DESTROY_SHIP,,,,,,,,,,
3001,MEDIUM_OBJECTIVE_EARN_5_BATTLESTARS,QUEST_OBJECTIVE_EARN_BATTLESTARS,5,EARN_BATTLE_REWARD,RESOURCE,VICTORY_TOKEN,RESOURCE_VICTORY_TOKEN,,,,,,,
3002,MEDIUM_OBJECTIVE_DESTROY_3_SHIPS,QUEST_OBJECTIVE_DESTROY_SHIPS,3,DESTROY_SHIP,,,,,,,,,,
3003,MEDIUM_OBJECTIVE_CANNONSHIP_VICTORY,QUEST_OBJECTIVE_SHIP_WIN,2,WIN,SHIP_GROUP,SHOOTER_QUESTS,SHIP_NAME_CANNON_1,,,,,,,
3004,MEDIUM_OBJECTIVE_HEALER_VICTORY,QUEST_OBJECTIVE_SHIP_WIN,2,WIN,SHIP_GROUP,FIXER_QUESTS,SHIP_NAME_REPAIR_1,,,,,,,
3005,MEDIUM_OBJECTIVE_SPEEDBOAT_VICTORY,QUEST_OBJECTIVE_SHIP_WIN,2,WIN,SHIP_GROUP,SPEED_SHIP,SHIP_NAME_SPEED_1,,,,,,,
3006,MEDIUM_OBJECTIVE_STINKY_VICTORY,QUEST_OBJECTIVE_SHIP_WIN,2,WIN,SHIP_GROUP,CONTROL_SHIP,SHIP_NAME_FISHY_1,,,,,,,
3007,MEDIUM_OBJECTIVE_TANK_VICTORY,QUEST_OBJECTIVE_SHIP_WIN,2,WIN,SHIP_GROUP,DEFENDER_QUESTS,SHIP_NAME_TANK_A_1,,,,,,,
3008,MEDIUM_OBJECTIVE_DEAL_2500_DAMAGE,QUEST_OBJECTIVE_DEAL_DAMAGE,2500,DAMAGE,,,,,,,,,,
3009,MEDIUM_OBJECTIVE_DEAL_3500_DAMAGE,QUEST_OBJECTIVE_DEAL_DAMAGE,3500,DAMAGE,,,,,,,,,,
3010,MEDIUM_OBJECTIVE_DEAL_5000_DAMAGE,QUEST_OBJECTIVE_DEAL_DAMAGE,5000,DAMAGE,,,,,,,,,,
3011,MEDIUM_OBJECTIVE_DEAL_6500_DAMAGE,QUEST_OBJECTIVE_DEAL_DAMAGE,6500,DAMAGE,,,,,,,,,,
3012,MEDIUM_OBJECTIVE_DEAL_9000_DAMAGE,QUEST_OBJECTIVE_DEAL_DAMAGE,9000,DAMAGE,,,,,,,,,,
3013,MEDIUM_OBJECTIVE_DEAL_11000_DAMAGE,QUEST_OBJECTIVE_DEAL_DAMAGE,11000,DAMAGE,,,,,,,,,,
3014,MEDIUM_OBJECTIVE_KILL_4_WITH_BLAST_CANNON,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,4,DESTROY_SHIP,GROUP,BLAST_CANNON,ITEM_CANNON_BLAST,,,,,,,
3015,MEDIUM_OBJECTIVE_KILL_4_WITH_STANDARD_CANNON,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,4,DESTROY_SHIP,GROUP,STANDARD_CANNON,ITEM_CANNON,,,,,,,
3016,MEDIUM_OBJECTIVE_KILL_4_WITH_SNIPER_CANNON,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,4,DESTROY_SHIP,GROUP,SNIPER_CANNON,ITEM_CANNON_SNIPER,,,,,,,
3017,MEDIUM_OBJECTIVE_KILL_4_WITH_STANDARD_CARRONADE,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,4,DESTROY_SHIP,GROUP,STANDARD_CARRONADE,ITEM_CARRONADE,,,,,,,
3018,MEDIUM_OBJECTIVE_KILL_4_WITH_FIRE_BOMB,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,4,DESTROY_SHIP,GROUP,FIRE_BOMB,ITEM_FIRE_BOMB,,,,,,,
3019,MEDIUM_OBJECTIVE_KILL_4_WITH_FLARE_GUN,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,4,DESTROY_SHIP,GROUP,FLARE_GUN,ITEM_FLARE_GUN,,,,,,,
3020,MEDIUM_OBJECTIVE_KILL_4_WITH_GRENADE,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,4,DESTROY_SHIP,GROUP,GRENADE,ITEM_GRENADE,,,,,,,
3021,MEDIUM_OBJECTIVE_KILL_4_WITH_MINE,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,4,DESTROY_SHIP,GROUP,MINE,ITEM_MINE,,,,,,,
3022,MEDIUM_OBJECTIVE_KILL_4_WITH_MISSILE,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,4,DESTROY_SHIP,GROUP,MISSILE,ITEM_MISSILE,,,,,,,
3023,MEDIUM_OBJECTIVE_KILL_4_WITH_BIG_MORTAR,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,4,DESTROY_SHIP,GROUP,BIG_MORTAR,ITEM_MORTAR_BIG,,,,,,,
3024,MEDIUM_OBJECTIVE_KILL_4_WITH_LARGE_AREA_MORTAR,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,4,DESTROY_SHIP,GROUP,LARGE_AREA_MORTAR,ITEM_MORTAR_LARGE_AREA,,,,,,,
3025,MEDIUM_OBJECTIVE_KILL_4_WITH_LONG_RANGE_MORTAR,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,4,DESTROY_SHIP,GROUP,LONG_RANGE_MORTAR,ITEM_MORTAR_LONG_RANGE,,,,,,,
3026,MEDIUM_OBJECTIVE_KILL_4_WITH_STANDARD_MORTAR,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,4,DESTROY_SHIP,GROUP,STANDARD_MORTAR,ITEM_MORTAR,,,,,,,
3027,MEDIUM_OBJECTIVE_KILL_4_WITH_NAPALM,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,4,DESTROY_SHIP,GROUP,NAPALM,ITEM_NAPALM,,,,,,,
3028,MEDIUM_OBJECTIVE_KILL_4_WITH_RAILGUN,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,4,DESTROY_SHIP,GROUP,RAILGUN,ITEM_RAILGUN,,,,,,,
3029,MEDIUM_OBJECTIVE_KILL_4_WITH_FAST_TORPEDO,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,4,DESTROY_SHIP,GROUP,FAST_TORPEDO,ITEM_TORPEDO_FAST,,,,,,,
3030,MEDIUM_OBJECTIVE_KILL_4_WITH_BIG_TORPEDO,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,4,DESTROY_SHIP,GROUP,BIG_TORPEDO,ITEM_TORPEDO,,,,,,,
3031,MEDIUM_OBJECTIVE_KILL_4_WITH_TRIPLE_TORPEDO,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,4,DESTROY_SHIP,GROUP,TRIPLE_TORPEDO,ITEM_TORPEDO_TRIPLE,,,,,,,
3032,MEDIUM_OBJECTIVE_KILL_2_WITH_BLAST_CANNON,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,2,DESTROY_SHIP,GROUP,BLAST_CANNON,ITEM_CANNON_BLAST,,,,,,,
3033,MEDIUM_OBJECTIVE_KILL_2_WITH_STANDARD_CANNON,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,2,DESTROY_SHIP,GROUP,STANDARD_CANNON,ITEM_CANNON,,,,,,,
3034,MEDIUM_OBJECTIVE_KILL_2_WITH_SNIPER_CANNON,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,2,DESTROY_SHIP,GROUP,SNIPER_CANNON,ITEM_CANNON_SNIPER,,,,,,,
3035,MEDIUM_OBJECTIVE_KILL_2_WITH_STANDARD_CARRONADE,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,2,DESTROY_SHIP,GROUP,STANDARD_CARRONADE,ITEM_CARRONADE,,,,,,,
3036,MEDIUM_OBJECTIVE_KILL_2_WITH_FIRE_BOMB,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,2,DESTROY_SHIP,GROUP,FIRE_BOMB,ITEM_FIRE_BOMB,,,,,,,
3037,MEDIUM_OBJECTIVE_KILL_2_WITH_FLARE_GUN,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,2,DESTROY_SHIP,GROUP,FLARE_GUN,ITEM_FLARE_GUN,,,,,,,
3038,MEDIUM_OBJECTIVE_KILL_2_WITH_GRENADE,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,2,DESTROY_SHIP,GROUP,GRENADE,ITEM_GRENADE,,,,,,,
3039,MEDIUM_OBJECTIVE_KILL_2_WITH_MINE,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,2,DESTROY_SHIP,GROUP,MINE,ITEM_MINE,,,,,,,
3040,MEDIUM_OBJECTIVE_KILL_2_WITH_MISSILE,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,2,DESTROY_SHIP,GROUP,MISSILE,ITEM_MISSILE,,,,,,,
3041,MEDIUM_OBJECTIVE_KILL_2_WITH_BIG_MORTAR,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,2,DESTROY_SHIP,GROUP,BIG_MORTAR,ITEM_MORTAR_BIG,,,,,,,
3042,MEDIUM_OBJECTIVE_KILL_2_WITH_LARGE_AREA_MORTAR,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,2,DESTROY_SHIP,GROUP,LARGE_AREA_MORTAR,ITEM_MORTAR_LARGE_AREA,,,,,,,
3043,MEDIUM_OBJECTIVE_KILL_2_WITH_LONG_RANGE_MORTAR,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,2,DESTROY_SHIP,GROUP,LONG_RANGE_MORTAR,ITEM_MORTAR_LONG_RANGE,,,,,,,
3044,MEDIUM_OBJECTIVE_KILL_2_WITH_STANDARD_MORTAR,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,2,DESTROY_SHIP,GROUP,STANDARD_MORTAR,ITEM_MORTAR,,,,,,,
3045,MEDIUM_OBJECTIVE_KILL_2_WITH_NAPALM,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,2,DESTROY_SHIP,GROUP,NAPALM,ITEM_NAPALM,,,,,,,
3046,MEDIUM_OBJECTIVE_KILL_2_WITH_RAILGUN,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,2,DESTROY_SHIP,GROUP,RAILGUN,ITEM_RAILGUN,,,,,,,
3047,MEDIUM_OBJECTIVE_KILL_2_WITH_FAST_TORPEDO,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,2,DESTROY_SHIP,GROUP,FAST_TORPEDO,ITEM_TORPEDO_FAST,,,,,,,
