ID,IDText,SkillGroupName,SkillGroup,Description,EffectGroup,Attribute,AttributeValue,AttributeOperation,AttributeValueFormat,ShowValueAsPercentage,Type,TypeID,Scope,BuffSource,BuffContributionMultiplier,,,
165,SHIELD_HITPOINTS_M_5,GROUP_SHIELD,SHIELD,,,BASE_VALUE,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
166,SLOW_DOWN_TIME_M_10,GROUP_FREEZE_ITEMS,SLOW,,FROZEN,DURATION,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
167,SLOW_DOWN_EFFECT_M_5,GROUP_FREEZE_ITEMS,SLOW,,,BASE_VALUE,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
168,CONTROL_SHIP_SPEED_M_2,GROUP_CONTROL_SHIP,CONTROL_SHIP,,,SPEED,0.02,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
169,CONTROL_SHIP_SPEED_M_3,GROUP_CONTROL_SHIP,CONTROL_SHIP,,,SPEED,0.03,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
170,CONTROL_SHIP_SPEED_M_5,GROUP_CONTROL_SHIP,CONTROL_SHIP,,,SPEED,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
171,WEAPON_COOLDOWN_M_1,GROUP_ALL_ITEMS,ITEM,,,COOLDOWN,-0.01,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
172,STUN_EFFECT_TIME_M_5,GROUP_STUN_ITEMS,STUN,,,BASE_VALUE,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
173,STUN_EFFECT_TIME_M_10,GROUP_STUN_ITEMS,STUN,,,BASE_VALUE,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
174,STUN_COOLDOWN_M_5,GROUP_STUN_ITEMS,STUN,,,COOLDOWN,-0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
175,TESLA_SHIELD_BLOCK_M_5,ITEM_TESLA_SHIELD,TESLA_SHIELD,,,BASE_VALUE,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
176,TESLA_SHIELD_BLOCK_A_25,ITEM_TESLA_SHIELD,TESLA_SHIELD,,,BASE_VALUE,25,ADDITIVE,,0,STAT,,SELF,,,,,
177,TESLA_SHIELD_TIME_M_2,ITEM_TESLA_SHIELD,TESLA_SHIELD,,TESLA_SHIELD,DURATION,0.02,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
178,TESLA_SHIELD_TIME_M_3,ITEM_TESLA_SHIELD,TESLA_SHIELD,,TESLA_SHIELD,DURATION,0.03,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
179,TESLA_SHIELD_TIME_M_5,ITEM_TESLA_SHIELD,TESLA_SHIELD,,TESLA_SHIELD,DURATION,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
180,TESLA_SHIELD_TIME_M_10,ITEM_TESLA_SHIELD,TESLA_SHIELD,,TESLA_SHIELD,DURATION,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
181,TORPEDO_SPEED_BOOST_M_5,GROUP_TORPEDO,TORPEDO,,,PROJECTILE_SPEED,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
182,TORPEDO_SPEED_BOOST_M_10,GROUP_TORPEDO,TORPEDO,,,PROJECTILE_SPEED,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
183,TORPEDO_SPEED_BOOST_M_15,GROUP_TORPEDO,TORPEDO,,,PROJECTILE_SPEED,0.15,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
184,CANNON_SHIP_AURA_ENABLE,GROUP_CANNON_SHIP,CANNON_SHIP,,,,,,,,EFFECT,CANNON_SHIP_AURA,SELF,,,,,
185,SPEED_SHIP_AURA_ENABLE,GROUP_SPEED_SHIP,SPEED_SHIP,,,,,,,,EFFECT,SPEED_SHIP_AURA,SELF,,,,,
186,TANK_SHIP_AURA_ENABLE,GROUP_TANK_SHIP,TANK_SHIP,,,,,,,,EFFECT,TANK_SHIP_AURA,SELF,,,,,
187,CONTROL_SHIP_AURA_ENABLE,GROUP_CONTROL_SHIP,CONTROL_SHIP,,,,,,,,EFFECT,CONTROL_SHIP_AURA,SELF,,,,,
188,HEALING_SHIP_AURA_ENABLE,GROUP_HEALING_SHIP,HEALING_SHIP,,,,,,,,EFFECT,HEALING_SHIP_AURA,SELF,,,,,
189,SNIPER_CANNON_COOLDOWN_M_5,ITEM_CANNON_SNIPER,SNIPER_CANNON,,,COOLDOWN,-0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
190,TORPEDO_DAMAGE_A_10,GROUP_TORPEDO,TORPEDO,,,BASE_VALUE,10,ADDITIVE,,0,STAT,,SELF,,,,,
191,TORPEDO_DAMAGE_M_2,GROUP_TORPEDO,TORPEDO,,,BASE_VALUE,0.02,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
192,TORPEDO_DAMAGE_M_4,GROUP_TORPEDO,TORPEDO,,,BASE_VALUE,0.04,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
193,TORPEDO_COOLDOWN_M_5,GROUP_TORPEDO,TORPEDO,,,COOLDOWN,-0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
194,TORPEDO_TO_STUNNED_M_5,GROUP_TORPEDO,TORPEDO,,TORPEDO_TO_STUNNED,VALUE,0.05,ADDITIVE,,-1,STAT,,SELF,,,,,
195,TORPEDO_TO_STUNNED_M_10,GROUP_TORPEDO,TORPEDO,,TORPEDO_TO_STUNNED,VALUE,0.1,ADDITIVE,,-1,STAT,,SELF,,,,,
196,MINE_DAMAGE_M_2,GROUP_MINE,MINE,,,BASE_VALUE,0.02,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
197,MINE_DAMAGE_M_3,GROUP_MINE,MINE,,,BASE_VALUE,0.03,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
198,MINE_DAMAGE_M_5,GROUP_MINE,MINE,,,BASE_VALUE,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
199,MINE_DAMAGE_M_10,GROUP_MINE,MINE,,,BASE_VALUE,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
200,MINE_COOLDOWN_M_1,GROUP_MINE,MINE,,,COOLDOWN,-0.01,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
201,MINE_COOLDOWN_M_2,GROUP_MINE,MINE,,,COOLDOWN,-0.02,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
202,MINE_COOLDOWN_M_4,GROUP_MINE,MINE,,,COOLDOWN,-0.04,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
203,MINE_COOLDOWN_M_10,GROUP_MINE,MINE,,,COOLDOWN,-0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
204,TANK_SHIP_HITPOINTS_M_3,GROUP_TANK_SHIP,TANK_SHIP,,,HIT_POINTS,0.03,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
205,TANK_SHIP_HITPOINTS_M_5,GROUP_TANK_SHIP,TANK_SHIP,,,HIT_POINTS,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
206,MISSILE_PROJECTILES_A_1,GROUP_MISSILE,MISSILE,,,PROJECTILE_COUNT,1,ADDITIVE,,0,STAT,,SELF,,,,,
207,MISSILE_DAMAGE_M_5,GROUP_MISSILE,MISSILE,,,BASE_VALUE,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
208,MISSILE_DAMAGE_M_10,GROUP_MISSILE,MISSILE,,,BASE_VALUE,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
209,MISSILE_COOLDOWN_M_2,GROUP_MISSILE,MISSILE,,,COOLDOWN,-0.02,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
210,MISSILE_COOLDOWN_M_3,GROUP_MISSILE,MISSILE,,,COOLDOWN,-0.03,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
211,MISSILE_COOLDOWN_M_5,GROUP_MISSILE,MISSILE,,,COOLDOWN,-0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
212,MORTAR_DAMAGE_TO_SLOWED_A_5,GROUP_MORTAR,MORTAR,,MORTAR_TO_SLOWED,VALUE,0.05,ADDITIVE,,-1,STAT,,SELF,,,,,
213,MORTAR_DAMAGE_TO_SLOWED_A_10,GROUP_MORTAR,MORTAR,,MORTAR_TO_SLOWED,VALUE,0.1,ADDITIVE,,-1,STAT,,SELF,,,,,
214,MORTAR_DAMAGE_TO_SLOWED_A_15,GROUP_MORTAR,MORTAR,,MORTAR_TO_SLOWED,VALUE,0.15,ADDITIVE,,-1,STAT,,SELF,,,,,
215,CONTROL_COOLDOWN_M_1,GROUP_CONTROL_ITEMS,CONTROL,,,COOLDOWN,-0.01,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
216,HEALING_COOLDOWN_M_1,GROUP_HEALING_ITEMS,HEALING,,,COOLDOWN,-0.01,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
217,CANNON_DAMAGE_TO_BURNING_M_5,GROUP_CANNON,CANNON,,BONUS_TO_BURNING,VALUE,0.05,ADDITIVE,,-1,STAT,,SELF,,,,,
218,CANNON_DAMAGE_TO_BURNING_M_10,GROUP_CANNON,CANNON,,BONUS_TO_BURNING,VALUE,0.1,ADDITIVE,,-1,STAT,,SELF,,,,,
219,OVERBOOST_EFFECT_M_5,ITEM_SPEED_OVERBOOST,OVERBOOST,,,BASE_VALUE,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
220,OVERBOOST_EFFECT_M_10,ITEM_SPEED_OVERBOOST,OVERBOOST,,,BASE_VALUE,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
221,SPEED_SHIP_SPEED_M_5,GROUP_SPEED_SHIP,SPEED_SHIP,,,SPEED,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
222,SPEED_SHIP_SPEED_M_10,GROUP_SPEED_SHIP,SPEED_SHIP,,,SPEED,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
223,SPEED_SHIP_HITPOINTS_M_5,GROUP_SPEED_SHIP,SPEED_SHIP,,,HIT_POINTS,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
224,SPEED_SHIP_HITPOINTS_M_10,GROUP_SPEED_SHIP,SPEED_SHIP,,,HIT_POINTS,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
225,CONTROL_SHIP_HITPOINTS_A_50,GROUP_CONTROL_SHIP,CONTROL_SHIP,,,HIT_POINTS,50,ADDITIVE,,0,STAT,,SELF,,,,,
226,CONTROL_SHIP_HITPOINTS_A_75,GROUP_CONTROL_SHIP,CONTROL_SHIP,,,HIT_POINTS,75,ADDITIVE,,0,STAT,,SELF,,,,,
227,CANNON_SHIP_SPEED_M_5,GROUP_CANNON_SHIP,CANNON_SHIP,,,SPEED,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
228,TANK_SHIP_SPEED_M_5,GROUP_TANK_SHIP,TANK_SHIP,,,SPEED,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
229,TANK_SHIP_SPEED_M_10,GROUP_TANK_SHIP,TANK_SHIP,,,SPEED,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
230,TANK_SHIP_HITPOINTS_M_10,GROUP_TANK_SHIP,TANK_SHIP,,,HIT_POINTS,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
231,HEALING_SHIP_HITPOINTS_M_5,GROUP_HEALING_SHIP,HEALING_SHIP,,,HIT_POINTS,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
232,HEALING_SHIP_HITPOINTS_M_10,GROUP_HEALING_SHIP,HEALING_SHIP,,,HIT_POINTS,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
233,HEALING_SHIP_SPEED_M_5,GROUP_HEALING_SHIP,HEALING_SHIP,,,SPEED,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
234,HEALING_SHIP_SPEED_M_10,GROUP_HEALING_SHIP,HEALING_SHIP,,,SPEED,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
235,AREA_SLOW_PROJECTILE_SPEED_M_10,GROUP_AREA_SLOW,AREA_SLOW,,,FLIGHT_TIME,-0.03,MULTIPLICATIVE,CREW_PERK_ATTRIBUTE_PERCENTAGE_INVERTED,-1,STAT,,SELF,,,,,
236,AREA_SLOW_PROJECTILE_SPEED_M_15,GROUP_AREA_SLOW,AREA_SLOW,,,FLIGHT_TIME,-0.05,MULTIPLICATIVE,CREW_PERK_ATTRIBUTE_PERCENTAGE_INVERTED,-1,STAT,,SELF,,,,,
237,AREA_SLOW_DURATION_M_10,GROUP_AREA_SLOW,AREA_SLOW,,FROZEN,DURATION,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
238,FREEZE_GUN_COOLDOWN_M_5,ITEM_FREEZE_GUN,FREEZE_GUN,,,COOLDOWN,-0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
239,FREEZE_DURATION_M_10,ITEM_FREEZE_GUN,FREEZE_GUN,,FROZEN,DURATION,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
240,FREEZE_SLOW_EFFECT_M_5,ITEM_FREEZE_GUN,FREEZE_GUN,,,BASE_VALUE,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
241,FREEZE_SLOW_EFFECT_M_10,ITEM_FREEZE_GUN,FREEZE_GUN,,,BASE_VALUE,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
242,STANDARD_MORTAR_COOLDOWN_M_2,ITEM_MORTAR,STANDARD_MORTAR,,,COOLDOWN,-0.02,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
243,STANDARD_MORTAR_COOLDOWN_M_3,ITEM_MORTAR,STANDARD_MORTAR,,,COOLDOWN,-0.03,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
244,STANDARD_MORTAR_COOLDOWN_M_5,ITEM_MORTAR,STANDARD_MORTAR,,,COOLDOWN,-0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
245,LONG_RANGE_MORTAR_RANGE_A_2,ITEM_MORTAR_LONG_RANGE,LONG_RANGE_MORTAR,,,MAX_RANGE,2,ADDITIVE,,0,STAT,,SELF,,,,,
246,LONG_RANGE_MORTAR_SPEED_M_10,ITEM_MORTAR_LONG_RANGE,LONG_RANGE_MORTAR,,,FLIGHT_TIME,-0.05,MULTIPLICATIVE,CREW_PERK_ATTRIBUTE_PERCENTAGE_INVERTED,-1,STAT,,SELF,,,,,
247,BALLPARK_MORTAR_DAMAGE_M_5,ITEM_MORTAR_LARGE_AREA,LARGE_AREA_MORTAR,,,BASE_VALUE,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
248,BALLPARK_MORTAR_DAMAGE_M_10,ITEM_MORTAR_LARGE_AREA,LARGE_AREA_MORTAR,,,BASE_VALUE,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
249,BIG_MORTAR_DAMAGE_M_5,ITEM_MORTAR_BIG,BIG_MORTAR,,,BASE_VALUE,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
250,BIG_MORTAR_DAMAGE_M_10,ITEM_MORTAR_BIG,BIG_MORTAR,,,BASE_VALUE,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
251,HEALING_COOLDOWN_M_3,GROUP_HEALING_ITEMS,HEALING,,,COOLDOWN,-0.03,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
252,HEALING_COOLDOWN_M_5,GROUP_HEALING_ITEMS,HEALING,,,COOLDOWN,-0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
253,SELF_HEAL_AMOUNT_M_5,ITEM_SELF_HEAL,SELF_HEAL,,,BASE_VALUE,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
254,SELF_HEAL_AMOUNT_M_10,ITEM_SELF_HEAL,SELF_HEAL,,,BASE_VALUE,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
255,SELF_HEAL_COOLDOWN_M_2,ITEM_SELF_HEAL,SELF_HEAL,,,COOLDOWN,-0.02,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
256,SELF_HEAL_COOLDOWN_M_3,ITEM_SELF_HEAL,SELF_HEAL,,,COOLDOWN,-0.03,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
257,SELF_HEAL_COOLDOWN_M_5,ITEM_SELF_HEAL,SELF_HEAL,,,COOLDOWN,-0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
258,SELF_HEAL_COOLDOWN_M_10,ITEM_SELF_HEAL,SELF_HEAL,,,COOLDOWN,-0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
259,HEALTH_PACK_CRITICAL_HEAL_CHANCE_M_5,ITEM_HEALTH_PACK,HEALTH_PACK,,HEALING_CRIT,PROC_RATE,0.05,ADDITIVE,,-1,STAT,,SELF,,,,,
260,HEALTH_PACK_CRITICAL_HEAL_AMOUNT_M_50,ITEM_HEALTH_PACK,HEALTH_PACK,,HEALING_CRIT,VALUE,0.5,ADDITIVE,,-1,STAT,,SELF,,,,,
261,AREA_HEAL_AMOUNT_M_5,ITEM_AREA_HEAL,AREA_HEAL,,,BASE_VALUE,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
262,AREA_HEAL_AMOUNT_M_10,ITEM_AREA_HEAL,AREA_HEAL,,,BASE_VALUE,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
263,AREA_HEAL_AMOUNT_M_20,ITEM_AREA_HEAL,AREA_HEAL,,,BASE_VALUE,0.2,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
264,HEALTH_PACK_COOLDOWN_M_3,ITEM_HEALTH_PACK,HEALTH_PACK,,,COOLDOWN,-0.03,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
265,HEALTH_PACK_COOLDOWN_M_4,ITEM_HEALTH_PACK,HEALTH_PACK,,,COOLDOWN,-0.04,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
266,HEALTH_PACK_RANGE_A_1,ITEM_HEALTH_PACK,HEALTH_PACK,,,MAX_RANGE,1,ADDITIVE,,0,STAT,,SELF,,,,,
267,SMALL_SHIELD_HITPOINTS_A_25,ITEM_SHIELD,SMALL_SHIELD,,,BASE_VALUE,25,ADDITIVE,,0,STAT,,SELF,,,,,
268,BIG_SHIELD_HITPOINTS_M_5,ITEM_SHIELD_BIG,BIG_SHIELD,,,BASE_VALUE,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
269,FIRE_BOMB_DURATION_A_1,ITEM_FIRE_BOMB,FIRE_BOMB,,BURNING,DURATION,1,ADDITIVE,,0,STAT,,SELF,,,,,
270,FIRE_BOMB_COOLDOWN_M_2,ITEM_FIRE_BOMB,FIRE_BOMB,,,COOLDOWN,-0.02,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
271,FIRE_BOMB_COOLDOWN_M_3,ITEM_FIRE_BOMB,FIRE_BOMB,,,COOLDOWN,-0.03,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
272,FIRE_BOMB_COOLDOWN_M_5,ITEM_FIRE_BOMB,FIRE_BOMB,,,COOLDOWN,-0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
273,FLARE_GUN_DAMAGE_M_5,ITEM_FLARE_GUN,FLARE_GUN,,,BASE_VALUE,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
274,FLARE_PROJECTILE_SPEED_M_10,ITEM_FLARE_GUN,FLARE_GUN,,,PROJECTILE_SPEED,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
275,FLARE_BURNING_DURATION_M_10,ITEM_FLARE_GUN,FLARE_GUN,,BURNING,DURATION,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
276,NAPALM_COOLDOWN_M_5,ITEM_NAPALM,NAPALM,,,COOLDOWN,-0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
277,NAPALM_DAMAGE_M_5,ITEM_NAPALM,NAPALM,,,BASE_VALUE,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
278,NAPALM_DAMAGE_M_10,ITEM_NAPALM,NAPALM,,,BASE_VALUE,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
279,NAPALM_DAMAGE_M_20,ITEM_NAPALM,NAPALM,,,BASE_VALUE,0.2,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
280,NAPALM_DAMAGE_M_25,ITEM_NAPALM,NAPALM,,,BASE_VALUE,0.25,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
281,TESLA_SHIELD_BLOCK_A_50,ITEM_TESLA_SHIELD,TESLA_SHIELD,,,BASE_VALUE,50,ADDITIVE,,0,STAT,,SELF,,,,,
282,RAILGUN_COOLDOWN_M_2,ITEM_RAILGUN,RAILGUN,,,COOLDOWN,-0.02,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
283,RAILGUN_COOLDOWN_M_5,ITEM_RAILGUN,RAILGUN,,,COOLDOWN,-0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
284,RAILGUN_DAMAGE_M_5,ITEM_RAILGUN,RAILGUN,,,BASE_VALUE,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
285,RAILGUN_DAMAGE_M_10,ITEM_RAILGUN,RAILGUN,,,BASE_VALUE,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
286,ALL_TORPEDO_DAMAGE_A_25,GROUP_TORPEDO,TORPEDO,,,BASE_VALUE,25,ADDITIVE,,0,STAT,,SELF,,,,,
287,ALL_TORPEDO_DAMAGE_M_3,GROUP_TORPEDO,TORPEDO,,,BASE_VALUE,0.03,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
288,ALL_TORPEDO_DAMAGE_M_5,GROUP_TORPEDO,TORPEDO,,,BASE_VALUE,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
289,ALL_TORPEDO_TO_SLOWED_M_5,GROUP_TORPEDO,TORPEDO,,TORPEDO_TO_SLOWED,VALUE,0.05,ADDITIVE,,-1,STAT,,SELF,,,,,
290,ALL_TORPEDO_TO_SLOWED_M_10,GROUP_TORPEDO,TORPEDO,,TORPEDO_TO_SLOWED,VALUE,0.1,ADDITIVE,,-1,STAT,,SELF,,,,,
291,ALL_TORPEDO_SPEED_BOOST_M_10,GROUP_TORPEDO,TORPEDO,,,PROJECTILE_SPEED,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
292,FAST_TORPEDO_COOLDOWN_M_2,ITEM_TORPEDO_FAST,FAST_TORPEDO,,,COOLDOWN,-0.02,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
293,FAST_TORPEDO_COOLDOWN_M_3,ITEM_TORPEDO_FAST,FAST_TORPEDO,,,COOLDOWN,-0.03,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
294,FAST_TORPEDO_COOLDOWN_M_5,ITEM_TORPEDO_FAST,FAST_TORPEDO,,,COOLDOWN,-0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
295,FAST_TORPEDO_SPEED_BOOST_M_15,ITEM_TORPEDO_FAST,FAST_TORPEDO,,,PROJECTILE_SPEED,0.15,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
296,FAST_TORPEDO_SPEED_BOOST_M_20,ITEM_TORPEDO_FAST,FAST_TORPEDO,,,PROJECTILE_SPEED,0.2,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
297,BIG_TORPEDO_DAMAGE_M_5,ITEM_TORPEDO,BIG_TORPEDO,,,BASE_VALUE,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
298,BIG_TORPEDO_DAMAGE_M_10,ITEM_TORPEDO,BIG_TORPEDO,,,BASE_VALUE,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
299,BIG_TORPEDO_DAMAGE_M_15,ITEM_TORPEDO,BIG_TORPEDO,,,BASE_VALUE,0.15,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
300,REGENERATOR_HEALING_M_5,ITEM_REGEN,REGEN,,,BASE_VALUE,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
301,REGENERATOR_HEALING_M_10,ITEM_REGEN,REGEN,,,BASE_VALUE,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
302,TRIPLE_TORPEDO_COOLDOWN_M_2,ITEM_TORPEDO_TRIPLE,TRIPLE_TORPEDO,,,COOLDOWN,-0.02,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
303,TRIPLE_TORPEDO_COOLDOWN_M_3,ITEM_TORPEDO_TRIPLE,TRIPLE_TORPEDO,,,COOLDOWN,-0.03,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
304,TRIPLE_TORPEDO_COOLDOWN_M_5,ITEM_TORPEDO_TRIPLE,TRIPLE_TORPEDO,,,COOLDOWN,-0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
305,TRIPLE_TORPEDO_DAMAGE_M_5,ITEM_TORPEDO_TRIPLE,TRIPLE_TORPEDO,,,BASE_VALUE,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
306,MORTAR_DIRECT_HIT_DAMAGE,GROUP_MORTAR,MORTAR,,,,,,,,EFFECT,MORTAR_TO_ENEMY_DIRECT,SELF,,,,,
307,NITRO_COOLDOWN_M_10,ITEM_SPEED_NITRO,NITRO,,,COOLDOWN,-0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
308,POINT_DAMAGE_M_5,GROUP_POINT_DAMAGE,POINT_DAMAGE,,,BASE_VALUE,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
309,AREA_DAMAGE_M_5,GROUP_AREA_DAMAGE,AREA_DAMAGE,,,BASE_VALUE,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
310,SLOW_REDUCE_HEALING_M_50,ITEM_FREEZE_GUN,FREEZE_GUN,,,,,,,,EFFECT,SLOW_HEALING_REDUCTION,SELF,,,,,
311,STUN_DISABLE_HEALING,ITEM_TESLA_STUN,TESLA_BOLT,,,,,,,,EFFECT,STUN_HEALING_DISABLE,SELF,,,,,
312,BURNING_REDUCE_HEALING_M_30,ITEM_FLARE_GUN,FLARE_GUN,,,,,,,,EFFECT,FLARE_HEALING_REDUCTION,SELF,,,,,
313,CANNON_SHIP_HITPOINTS_A_50,GROUP_CANNON_SHIP,CANNON_SHIP,,,HIT_POINTS,50,ADDITIVE,,0,STAT,,SELF,,,,,
314,SPEED_SHIP_HITPOINTS_A_50,GROUP_SPEED_SHIP,SPEED_SHIP,,,HIT_POINTS,50,ADDITIVE,,0,STAT,,SELF,,,,,
315,TANK_SHIP_HITPOINTS_A_50,GROUP_TANK_SHIP,TANK_SHIP,,,HIT_POINTS,50,ADDITIVE,,0,STAT,,SELF,,,,,
316,HEALING_SHIP_HITPOINTS_A_50,GROUP_HEALING_SHIP,HEALING_SHIP,,,HIT_POINTS,50,ADDITIVE,,0,STAT,,SELF,,,,,
317,MORTAR_DAMAGE_M_10,GROUP_MORTAR,MORTAR,,,BASE_VALUE,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
318,STANDARD_MORTAR_COOLDOWN_M_10,ITEM_MORTAR,STANDARD_MORTAR,,,COOLDOWN,-0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
